날짜,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
2025.05.20,1,LG,47,31,16,0,0.660,0,8승0무2패,2승,18-0-7,13-0-9
2025.05.20,2,한화,47,29,18,0,0.617,2,5승0무5패,1승,15-0-10,14-0-8
2025.05.20,3,롯데,49,28,19,2,0.596,3,6승1무3패,1패,13-1-10,15-1-9
2025.05.20,4,SSG,46,23,22,1,0.511,7,7승0무3패,3승,13-1-11,10-0-11
2025.05.20,5,KIA,45,22,23,0,0.489,8,6승0무4패,1패,14-0-11,8-0-12
2025.05.20,5,KT,48,22,23,3,0.489,8,4승1무5패,1승,12-1-12,10-2-11
2025.05.20,7,NC,43,20,22,1,0.476,8.5,5승1무4패,1패,3-0-6,17-1-16
2025.05.20,8,삼성,48,22,25,1,0.468,9,3승0무7패,1승,16-0-12,6-1-13
2025.05.20,9,두산,47,19,26,2,0.422,11,3승1무6패,4패,8-2-14,11-0-12
2025.05.20,10,키움,50,14,36,0,0.280,18.5,1승0무9패,2패,7-0-18,7-0-18
2025.05.18,1,LG,46,30,16,0,0.652,0,7승0무3패,1승,18-0-7,12-0-9
2025.05.18,2,롯데,48,28,18,2,0.609,2,7승1무2패,3승,13-1-9,15-1-9
2025.05.18,2,한화,46,28,18,0,0.609,2,5승0무5패,2패,15-0-10,13-0-8
2025.05.18,4,KIA,44,22,22,0,0.500,7,6승0무4패,4승,14-0-11,8-0-11
2025.05.18,4,SSG,45,22,22,1,0.500,7,6승0무4패,2승,13-1-11,9-0-11
2025.05.18,6,NC,42,20,21,1,0.488,7.5,6승1무3패,1승,3-0-5,17-1-16
2025.05.18,7,KT,47,21,23,3,0.477,8,3승1무6패,1패,11-1-12,10-2-11
2025.05.18,8,삼성,47,21,25,1,0.457,9,2승0무8패,3패,16-0-12,5-1-13
2025.05.18,9,두산,46,19,25,2,0.432,10,4승1무5패,3패,8-2-13,11-0-12
2025.05.18,10,키움,49,14,35,0,0.286,17.5,2승0무8패,1패,7-0-17,7-0-18
2025.05.17,1,LG,45,29,16,0,0.644,0,7승0무3패,2패,17-0-7,12-0-9
2025.05.17,2,한화,45,28,17,0,0.622,1,6승0무4패,1패,15-0-9,13-0-8
2025.05.17,3,롯데,47,27,18,2,0.600,2,7승1무2패,2승,12-1-9,15-1-9
2025.05.17,4,KIA,43,21,22,0,0.488,7,6승0무4패,3승,13-0-11,8-0-11
2025.05.17,4,KT,46,21,22,3,0.488,7,3승1무6패,2승,11-1-12,10-2-10
2025.05.17,4,SSG,44,21,22,1,0.488,7,5승0무5패,1승,13-1-11,8-0-11
2025.05.17,7,NC,41,19,21,1,0.475,7.5,6승1무3패,1패,2-0-5,17-1-16
2025.05.17,8,삼성,46,21,24,1,0.467,8,2승0무8패,2패,16-0-12,5-1-12
2025.05.17,9,두산,45,19,24,2,0.442,9,4승1무5패,2패,8-2-13,11-0-11
2025.05.17,10,키움,48,14,34,0,0.292,16.5,2승0무8패,1승,7-0-17,7-0-17
2025.05.15,1,LG,43,29,14,0,0.674,0,8승0무2패,6승,17-0-5,12-0-9
2025.05.15,2,한화,43,27,16,0,0.628,2,7승0무3패,3패,14-0-8,13-0-8
2025.05.15,3,롯데,45,25,18,2,0.581,4,5승1무4패,1패,10-1-9,15-1-9
2025.05.15,4,삼성,44,21,22,1,0.488,8,2승0무8패,1승,16-0-12,5-1-10
2025.05.15,5,SSG,42,20,21,1,0.488,8,5승0무5패,1승,13-1-11,7-0-10
2025.05.15,6,NC,39,18,20,1,0.474,8.5,7승1무2패,1패,1-0-4,17-1-16
2025.05.15,7,KIA,41,19,22,0,0.463,9,5승0무5패,1승,11-0-11,8-0-11
2025.05.15,7,두산,43,19,22,2,0.463,9,6승1무3패,3승,8-2-13,11-0-9
2025.05.15,7,KT,44,19,22,3,0.463,9,2승1무7패,1패,11-1-12,8-2-10
2025.05.15,10,키움,46,13,33,0,0.283,17.5,1승0무9패,6패,7-0-17,6-0-16
2025.05.14,1,LG,42,28,14,0,0.667,0,8승0무2패,5승,16-0-5,12-0-9
2025.05.14,2,한화,42,27,15,0,0.643,1,8승0무2패,2패,14-0-7,13-0-8
2025.05.14,3,롯데,44,25,17,2,0.595,3,5승1무4패,1승,10-1-9,15-1-8
2025.05.14,4,NC,38,18,19,1,0.486,7.5,8승1무1패,1승,1-0-4,17-1-15
2025.05.14,5,삼성,43,20,22,1,0.476,8,1승0무9패,1패,15-0-12,5-1-10
2025.05.14,6,KT,43,19,21,3,0.475,8,3승1무6패,1승,11-1-12,8-2-9
2025.05.14,6,SSG,41,19,21,1,0.475,8,4승0무6패,1패,12-1-11,7-0-10
2025.05.14,8,KIA,40,18,22,0,0.450,9,4승0무6패,1패,10-0-11,8-0-11
2025.05.14,8,두산,42,18,22,2,0.450,9,6승1무3패,2승,8-2-13,10-0-9
2025.05.14,10,키움,45,13,32,0,0.289,16.5,1승0무9패,5패,7-0-17,6-0-15
2025.05.13,1,LG,41,27,14,0,0.659,0,7승0무3패,4승,15-0-5,12-0-9
2025.05.13,1,한화,41,27,14,0,0.659,0,9승0무1패,1패,14-0-6,13-0-8
2025.05.13,3,롯데,43,24,17,2,0.585,3,5승1무4패,1패,10-1-9,14-1-8
2025.05.13,4,삼성,42,20,21,1,0.488,7,2승0무8패,1승,15-0-11,5-1-10
2025.05.13,5,SSG,40,19,20,1,0.487,7,5승0무5패,3승,12-1-10,7-0-10
2025.05.13,6,NC,37,17,19,1,0.472,7.5,7승1무2패,1패,1-0-4,16-1-15
2025.05.13,7,KIA,39,18,21,0,0.462,8,4승0무6패,1승,10-0-10,8-0-11
2025.05.13,7,KT,42,18,21,3,0.462,8,2승1무7패,6패,11-1-12,7-2-9
2025.05.13,9,두산,41,17,22,2,0.436,9,5승1무4패,1승,8-2-13,9-0-9
2025.05.13,10,키움,44,13,31,0,0.295,15.5,2승0무8패,4패,7-0-17,6-0-14
2025.05.11,1,한화,40,27,13,0,0.675,0,10승0무0패,12승,14-0-5,13-0-8
2025.05.11,2,LG,40,26,14,0,0.650,1,6승0무4패,3승,14-0-5,12-0-9
2025.05.11,3,롯데,42,24,16,2,0.600,3,6승1무3패,4승,10-1-9,14-1-7
2025.05.11,4,NC,36,17,18,1,0.486,7.5,8승1무1패,7승,1-0-4,16-1-14
2025.05.11,5,삼성,41,19,21,1,0.475,8,1승0무9패,8패,14-0-11,5-1-10
2025.05.11,6,KT,41,18,20,3,0.474,8,2승2무6패,5패,11-1-12,7-2-8
2025.05.11,6,SSG,39,18,20,1,0.474,8,5승0무5패,2승,11-1-10,7-0-10
2025.05.11,8,KIA,38,17,21,0,0.447,9,4승0무6패,2패,9-0-10,8-0-11
2025.05.11,9,두산,40,16,22,2,0.421,10,4승2무4패,2패,8-2-13,8-0-9
2025.05.11,10,키움,43,13,30,0,0.302,15.5,2승0무8패,3패,7-0-17,6-0-13
2025.05.10,1,한화,39,26,13,0,0.667,0,10승0무0패,11승,14-0-5,12-0-8
2025.05.10,2,LG,39,25,14,0,0.641,1,5승0무5패,2승,14-0-5,11-0-9
2025.05.10,3,롯데,40,23,16,1,0.590,3,7승0무3패,3승,10-1-9,13-0-7
2025.05.10,4,삼성,40,19,20,1,0.487,7,1승1무8패,7패,14-0-10,5-1-10
2025.05.10,5,KT,39,18,19,2,0.486,7,4승1무5패,4패,11-0-11,7-2-8
2025.05.10,6,KIA,36,17,19,0,0.472,7.5,6승0무4패,1승,9-0-10,8-0-9
